Monsoon_Intensity,Topography_Drainage,River_Management,Deforestation,Urbanization,Climate_Change,Dams_Quality,Siltation,Agricultural_Practices,Encroachments,Ineffective_Disaster_Preparedness,Drainage_Systems,Coastal_Vulnerability,Landslides,Watersheds,Deteriorating_Infrastructure,Population_Score,Wetland_Loss,Inadequate_Planning,Political_Factors,Flood_Probability,Annual_Rainfall,Seasonal_Rainfall,Temperature,Humidity,Cloud_Visibility,Flood
3,8,6,6,4,4,6,2,3,2,5,10,7,4,2,3,4,3,2,6,0.45,1568.3,929,26.9,61.6,8.9,0
8,4,5,7,7,9,1,5,5,4,6,9,2,6,2,1,1,9,1,3,0.475,2884.6,1730.1,30.8,91.4,5,0
3,10,4,1,7,5,4,7,4,9,2,7,4,4,8,6,1,8,3,6,0.515,1559.1,888.9,27.2,67.1,8.8,1
4,4,2,7,3,4,1,4,6,4,9,4,2,6,6,8,8,6,6,10,0.52,1875.8,1057.7,26.3,67.3,7.9,1
3,7,5,2,5,8,5,2,7,5,7,7,6,5,3,3,4,4,3,4,0.475,1765.5,1062.1,30.2,62.8,7.9,0
6,6,6,4,6,4,3,1,3,5,1,10,5,9,5,5,7,3,3,2,0.47,2248.3,1245.4,26.9,74.8,7,0
6,7,4,5,5,5,4,8,8,4,6,8,4,5,4,7,7,5,4,8,0.57,2282.5,1289.9,26.7,76.3,6.9,1
7,3,5,5,6,6,6,7,6,5,5,4,6,9,7,10,6,5,4,5,0.585,2562.2,1505.4,27.7,80.3,7,1
6,3,5,4,,11,3,2,9,7,8,2,8,7,5,4,9,6,5,7,0.58,2494.3,1512.3,31.3,80.2,5.6,1
4,3,5,6,2,3,7,7,10,4,5,7,6,5,6,7,5,7,4,8,0.555,1776,1033.1,22.5,70.1,7.8,1
5,1,7,4,,7,4,3,0,2,6,6,4,8,5,5,7,4,2,6,0.455,2173.8,1286.3,29.1,70.4,7.2,0
6,9,1,4,3,7,5,8,4,6,5,8,4,3,5,6,4,6,14,3,0.555,2385.6,1388.1,28.4,77.1,7.7,1
4,9,4,1,5,4,2,8,4,5,4,5,7,7,3,4,2,3,6,3,0.45,1817.4,1071.6,26.4,69.6,8.2,0
6,3,7,9,7,4,11,7,8,3,1,4,5,4,2,3,4,6,7,4,0.525,2256.6,1270.1,25.9,79.3,6.6,1
8,1,9,4,6,7,6,3,4,2,8,4,3,2,6,4,5,4,2,8,0.48,2811.4,1658.2,28.9,85.1,5.1,0
7,2,4,,5,5,6,6,2,4,5,2,5,3,4,2,8,3,4,5,0.44,2490.4,1443.6,26.6,80.9,5.8,0
7,4,4,4,10,3,7,2,6,7,5,4,5,2,6,1,3,4,4,5,0.465,2428.8,1417.2,26.3,78.2,7.3,0
4,7,7,6,5,5,6,6,2,8,6,3,3,4,7,6,4,5,5,7,0.53,1876.9,1038.4,27.4,64.2,8.3,1
5,2,6,4,5,3,7,3,5,4,9,4,8,5,1,7,3,3,4,6,0.47,1999.8,1150.4,26,70.5,7.2,0
5,6,2,5,2,11,2,,6,4,3,1,6,1,8,8,4,9,4,6,0.485,2230,1262.2,32.1,81.6,7,0
7,9,8,8,7,2,2,5,8,7,6,4,11,7,4,2,6,3,3,1,0.55,2390.9,1432.3,25,83.1,7.1,1
5,8,8,,8,5,6,3,4,4,6,5,4,4,9,5,10,8,4,6,0.605,2101.3,1242,27.7,78.6,7.2,1
3,6,8,5,6,5,7,6,2,3,6,6,6,2,3,6,2,8,4,5,0.495,1625.7,974.8,28,68.4,8.7,0
6,11,4,1,5,6,4,2,1,1,6,3,6,6,5,6,5,9,2,7,0.48,2324.1,1323.7,27.4,82.6,8,0
2,1,7,4,7,3,6,4,3,2,7,7,4,8,3,5,9,5,6,4,0.485,1370.7,785.4,26.3,60.2,9.5,0
9,4,2,6,4,5,8,6,5,5,4,2,6,3,5,1,6,1,2,5,0.445,3028,1733.1,27.2,82.3,5.7,0
2,5,5,1,5,7,4,7,9,5,6,5,2,5,4,3,6,5,2,6,0.47,1456.5,887,28.7,59,8.6,0
6,10,4,9,5,2,4,3,7,3,7,4,5,4,8,6,6,4,5,8,0.55,2243.9,1243.4,24,72.7,7.9,1
7,2,3,2,3,5,5,6,5,6,5,5,2,4,2,5,3,10,9,8,0.485,2465.8,1427.5,26.6,86.9,5.5,0
8,8,9,4,5,5,4,9,7,2,9,3,8,3,4,3,3,8,6,1,0.545,2742,1576.6,27.3,90,6.8,1
6,11,,7,3,6,9,5,6,7,3,7,4,4,4,4,6,4,8,6,0.575,2283.2,1343.3,27.4,75.4,6.6,1
2,4,6,5,4,6,5,6,4,8,7,2,4,5,2,6,5,5,0,8,0.47,1504.1,867.3,27.2,62.3,8.3,0
3,6,7,5,1,6,7,4,2,4,6,3,7,4,4,4,1,5,4,3,0.43,1703.4,947.9,28.8,64.7,7.8,0
4,6,4,8,7,4,4,8,2,7,5,5,3,8,7,8,2,6,2,3,0.515,1865.5,1074.7,26.8,72.6,8.4,1
4,7,8,2,2,9,6,3,4,3,3,8,3,4,6,6,9,1,9,6,0.515,1959.6,1129.2,30.7,59.9,8.1,1
3,7,8,7,1,1,7,5,7,4,3,6,6,3,9,4,7,6,13,6,0.565,1522.4,887.9,22.3,63,8.9,1
11,4,4,7,5,9,8,5,4,4,8,3,6,4,4,5,3,3,4,10,0.555,3514.2,2037.2,30,87.3,4,1
4,6,4,5,7,9,8,3,6,4,2,7,5,5,6,7,6,6,7,5,0.56,1976.7,1189,31.7,68.1,7.4,1
5,3,1,3,7,4,5,5,3,4,9,9,4,9,1,8,7,6,5,3,0.505,2060.3,1205.7,27.4,75,7.3,1
4,4,4,6,7,5,8,6,7,9,8,11,7,6,9,4,6,4,6,6,0.635,1890.1,1125,27.5,69.3,8.1,1
4,4,3,5,9,10,2,4,7,6,9,8,6,5,5,2,6,4,7,3,0.545,2038.2,1206.9,33.6,70.4,6.9,1
3,5,5,3,5,3,5,5,3,6,3,5,4,5,3,5,4,4,5,4,0.425,1539.9,907.8,25.2,61.9,8.8,0
9,6,6,7,8,10,7,5,6,5,4,4,6,7,5,6,5,5,3,5,0.595,3097,1802.2,32.5,88.1,5.1,1
2,6,3,2,0,3,6,2,3,5,8,5,3,7,8,5,3,2,12,7,0.46,1402.8,825.4,23.7,51.6,9.1,0
2,4,6,3,7,5,5,2,3,9,3,3,8,3,3,6,6,7,3,6,0.47,1438.8,837.3,27.1,66.5,8.7,0
3,9,3,6,1,6,2,3,3,8,3,4,4,3,8,5,5,6,3,5,0.45,1698.8,927.8,27.2,62.9,8.4,0
3,7,10,5,4,3,4,5,7,3,6,3,2,6,2,4,6,5,6,3,0.47,1652.3,990,24.9,67.3,8.7,0
,3,6,4,5,3,6,5,4,4,3,8,6,6,6,7,3,4,7,4,0.495,1972.4,1173,25.2,68.4,7.3,0
12,6,5,4,3,7,8,8,4,4,4,4,3,5,7,4,3,4,9,5,0.545,3787.4,2212.4,27.8,100,3.8,1
6,6,1,7,5,6,6,8,5,8,8,8,5,5,6,4,4,6,12,6,0.61,2456,1381.2,27.7,78,6.8,1
4,4,5,7,6,3,6,6,5,6,6,4,3,7,5,7,5,5,3,3,0.5,1849.7,1043.2,24.8,64.4,7.9,1
1,5,11,3,5,4,3,7,10,9,4,5,9,4,4,2,6,11,4,2,0.545,1193.1,709.7,28.1,60.6,9.7,1
3,6,5,3,3,5,6,7,4,10,5,10,7,7,2,4,6,10,3,7,0.565,1608.4,946.9,26.6,70.9,8.1,1
5,7,10,4,7,6,3,8,4,6,5,6,4,6,3,3,2,2,3,3,0.485,2149.8,1247.5,29,74.9,7.2,0
4,6,6,0,4,7,3,8,3,4,2,8,3,6,6,7,5,10,11,6,0.545,1907.3,1127.6,30.3,70,7.5,1
5,10,3,7,9,9,5,6,4,6,3,6,6,9,4,7,6,2,5,4,0.58,2214.1,1248.3,31.4,65.4,6.8,1
4,3,7,6,4,5,5,2,2,2,5,7,5,3,6,5,4,6,7,8,0.48,1843.4,1043.5,27.7,67.9,7.7,0
4,2,5,1,3,6,7,8,3,5,4,2,2,6,3,4,5,4,8,2,0.42,1901.4,1099.3,29.1,69.8,7.6,0
6,6,6,4,5,6,3,7,6,4,4,3,4,3,5,6,5,5,4,1,0.465,2381.5,1406.6,27.2,74.4,7.3,0
2,2,5,5,3,,1,7,2,5,7,5,9,5,9,8,11,8,7,6,0.55,1322.8,766.9,26.3,62.6,9.3,1
2,5,5,4,6,10,1,4,3,3,2,5,3,8,6,6,5,4,7,4,0.465,1550.6,897.4,32.1,64.4,7.4,0
7,4,4,6,7,7,5,2,6,6,4,6,6,7,6,8,7,5,7,4,0.57,2544.9,1496.3,30.1,81.3,6.2,1
6,7,5,1,6,5,2,3,9,7,6,4,7,5,5,5,4,6,3,6,0.51,2256.3,1315.5,26.5,76.4,7,1
3,7,6,4,3,8,2,4,7,5,8,7,3,3,6,5,5,3,2,5,0.48,1682.8,938.1,27.9,65.3,8,0
5,3,1,3,6,5,3,3,4,7,7,5,9,1,2,7,6,8,5,5,0.475,2038.5,1166.9,28.2,75.1,7.2,0
6,7,8,2,7,6,6,3,5,4,1,6,8,9,5,6,4,4,4,7,0.54,2381.7,1385.4,27.8,74,7.3,1
6,4,6,5,6,4,7,2,8,4,8,6,6,4,6,5,7,3,4,8,0.545,2236.3,1321.4,25.4,76.1,7.4,1
6,9,4,4,2,4,1,6,9,3,4,5,5,3,4,5,2,5,4,5,0.45,2270.3,1308.5,24.4,80,7.9,0
3,4,9,8,6,6,9,5,10,1,8,2,2,7,6,4,6,3,6,4,0.545,1621.3,926.1,28.4,61.1,8.4,1
12,5,6,3,3,7,3,3,6,4,7,5,7,8,3,2,4,8,7,8,0.555,3691.8,2137.7,28.7,100,4.5,1
6,9,5,9,4,7,4,5,5,7,3,7,7,6,4,4,1,4,8,8,0.565,2295.4,1297,29.5,75.4,7,1
6,4,6,2,5,9,9,4,5,3,3,5,5,11,3,2,4,6,4,7,0.515,2407,1419.5,31.4,79.5,6.6,1
4,5,4,8,3,6,3,3,5,5,8,6,5,6,6,6,5,8,2,4,0.51,1980.2,1126.5,28,68.4,7.4,1
5,6,10,6,3,5,3,4,8,10,6,8,5,5,7,9,6,9,3,4,0.61,2051.7,1201.9,26.9,85.1,7.3,1
8,5,5,6,4,3,3,6,7,6,1,10,4,2,5,1,6,9,1,2,0.47,2709.8,1555.2,25.7,85.6,5.8,0
2,6,4,2,3,6,6,2,6,5,3,5,5,6,2,3,8,9,4,8,0.475,1468.2,842.1,28.5,67,9.2,0
9,7,4,8,3,7,5,5,1,9,3,5,6,4,7,4,6,3,8,6,0.55,3018.9,1756.9,27.7,87,5.2,1
6,7,9,3,6,2,4,3,1,4,4,2,10,2,10,2,3,9,4,12,0.515,2163.9,1284.6,24.5,81.8,7,1
3,2,1,2,5,6,5,0,2,4,3,6,4,2,4,7,3,4,5,3,0.355,1721.5,1017.2,27.9,57.4,8.6,0
3,3,1,8,3,4,7,9,4,6,4,3,6,6,3,2,6,0,9,7,0.47,1592.9,856.8,25.6,59.9,8.2,0
5,3,7,7,4,4,4,3,10,11,2,6,4,4,8,5,9,6,8,4,0.57,2101.1,1198.9,25.3,73.8,0.2,1
